Branch,Username,Date,Review
네이버플레이스,uhmjiya,5.19.일,"한가로운 여유를 즐기기 좋은 폴바셋 국회대로점입니다. 주말엔 사람도 많지 않아요. 주차는 근처 빈 곳에 해도 큰 문제없는 것 같고요.

나타와 룽고는 늘 맛있어요^^"
네이버플레이스,진초,6.4.화,메로나맛 나요ㅋㅋㅋ맛있지만 받자마자 이미 좀 녹아있어서 아쉬워요. 친절하고 가까워서 좋습니당
네이버플레이스,대방동영덕게,6.2.일,"일요일 8시까지입니당
말차도 맛있고 멜론 아스쿠림 맛나요"
네이버플레이스,H 25,5.18.토,폴바셋 여의도 국회대로점 좋아요^^
네이버플레이스,피노키오151,2.17.토,매장도 넓어서 커피마시기 좋은장소입니다. 커피도 맛이있지만 카페라테는 더욱 부드럽고 맛이좋습니다. 맛있게 잘먹었어요
네이버플레이스,나야나8691,5.30.목,"분위기 좋고 깔끔한 카페..
커피 맛도 좋고
음료 맛이 좋다."
네이버플레이스,안냥맹,3.16.토,"토요일에 갔더니 여유롭고 좋았어요
매장도 넓고 깨끗하고 직원분도 친절하셔요.
"
네이버플레이스,내보물쭈니,3.16.토,날이 따듯해져서 아이스음료로 충전했네요!다크초코라떼가 달달하고 초코가 진해서 맛있었어요 :)
네이버플레이스,옥수수하모니ㅋr,5.4.토,넘 맛있고 직원분들이 친절하세오
네이버플레이스,원더우먼5642,3.24.일,"넘 맛나요.
굿~~^^"
네이버플레이스,릴릴리3024,3.13.수,"직원분들 친절하셨고
말차음료도 맛있었어요"
네이버플레이스,히히854,3.6.수,처음 방문했는데 점심때라 그런지 매장에 사람이 많았어요~그래도 매장이 넓어 불편하지 않았고 커피 맛있어요 😊 
네이버플레이스,지성과미모60,5.25.토,시원하게 잘 마셨습니다~
네이버플레이스,mukvel,1.24.수,"점심 시간엔 정말 바쁘네요!!
맛있고 빨리 나오고 좋네요!!
오후엔 여유 있게 머무를 수 있을 것 같아요😍😍"
네이버플레이스,바텐더잔다르크,4.14.일,녹차 아스크림 맛있어요
네이버플레이스,ang****,6.5.수,맛도리
네이버플레이스,hhhhhyyyy,3.6.수,회사 근처여서 종종 가요~ 디카페인이여도 아메리카노 맛있어요
네이버플레이스,ㅇㅇㅇ4433,3.31.일,친절하고 좋아요
네이버플레이스,동작구노성철,4.8.월,오트 크림롤👍
네이버플레이스,Rejoice RAs,2.11.일,모임장소 굳 설에 사람업어서 좋당 ㅋㅋㅋ
네이버플레이스,Rejoice RAs,2.4.일,폴바셋 조아용 아이스크림 2월 행사하네영!! 굳굳!!
네이버플레이스,샤방7147,5.29.수,조아요
네이버플레이스,my song,5.10.금,숙소 근처에 있어서 테이크아웃 해서 앉아있지는 못했지만 분위기 괜찮아보이네요. 
네이버플레이스,호불호25,3.27.수,
네이버플레이스,ang****,3.8.금,카페오트 맛집
네이버플레이스,유쑤,2.20.화,"매장 넓고 좌석도 많아요.
점심에 붐비지만 갈만 합니다!"
네이버플레이스,쿠루미2,5.31.금,맛있어요
네이버플레이스,빵이0430,4.16.화,룽고 쓰네요 ㅜ
네이버플레이스,김민주6053,4.10.수,
네이버플레이스,아르곤55,3.15.금,굿
네이버플레이스,인생은 라라라,3.21.목,대화하기 좋아요
네이버플레이스,인생은 라라라,3.3.일,커피맛있고 아이스크림 굿~!
네이버플레이스,ang****,2.27.화,카페오트 최고
네이버플레이스,인생은 라라라,3.12.화,커피맛좋아요
네이버플레이스,작다,1.27.토,매장도 넓고 친절하고 커피는 말할것도 없고 최고
네이버플레이스,ht****,2.23.금,음료 금방 나오고 좋아요
네이버플레이스,belles81,1.1.월,아이스크림라떼맛있어요
네이버플레이스,블루밍니스,2.3.토,딸기 아이스크림 라떼 👍
네이버플레이스,sha****,3.13.수,커피가 맛있어서 좋아요~~~
네이버플레이스,진저브레드킹,2.27.화,
네이버플레이스,인생은 라라라,4.9.화,굿굿~
네이버플레이스,지여루미,23.9.17.일,"분위기도 편하고 아늑하니 좋아요.
혼자 가도 좋고, 여럿이서 가도 좋은 곳😊"
네이버플레이스,수땅32,1.27.토,너무 좋음
네이버플레이스,친절한 영시미,5.6.월,
네이버플레이스,인생은 라라라,1.18.목,맛있어서 지나는길에 자주들러요
네이버플레이스,인생은 라라라,3.19.화,맛있어요 
네이버플레이스,벌꿀오소리6881,23.12.12.화,아이스크림 맛있음 에헤헤 
네이버플레이스,캣니스66,2.4.일,"룽고 처음 마셔봤는데... 찌~인하네요~ ㅎ
에스프레속 컵이 이뻐서 찰칵~"
네이버플레이스,오사랑러브하트,23.11.30.목,베이글이랑 라떼 맛있어요^^
네이버플레이스,kkw9805,1.21.일,굿
네이버플레이스,공격적인수비,23.12.19.화,"유자차인가 너무 맛없었음
양도 적고
앞으로 안갈거임"
네이버플레이스,ponytales,23.12.17.일,약간 추웠어요. 따뜻하면 더 좋을것 같아요
네이버플레이스,시와86,1.11.목,바쁘지만 맛있어요
네이버플레이스,yga****,1.10.수,2024년 폴바셋 첫방문 기념 ㅎㅎ 나타 오리지널도 함께:)) 직원분들 항상 친절하세요:))
네이버플레이스,인생은 라라라,2.21.수,굿~!!
네이버플레이스,H 25,23.7.26.수,"폴바셋 라떼 진짜 맛있어요. 락토프리 변경도 가능하고, 500원 추가하면 디카페인도 가능. 2500원 추가하면 아이스크림 라떼도 가능. ㅋ 올 때 마다 친
절하고, 평일 밤은 조용한 편이라 좋아요^^"
네이버플레이스,내맘대로1717,1.14.일,맛있어요
네이버플레이스,밀가루마왕,23.10.30.월,"커피 맛있어요
아이스크림 맛있지만 오늘은 바닐라 라떼"
네이버플레이스,angellaa,23.10.31.화,점심엔 자리를 찾기 어렵지만 아이스크림은 최고에욤ㅁ
네이버플레이스,wlt****,23.10.23.월,커피맛있어요
네이버플레이스,수땅32,23.12.23.토,굿
네이버플레이스,수땅32,23.9.2.토,대형카페 중 제일 친절하고 쾌적함.
네이버플레이스,모모0410,23.10.11.수,"티데이 쿠폰으로 아이스크림 얹은 라떼 마셨어요! 
상하 아이스크림 넘나 맛있음!!!
"
네이버플레이스,도톨45,2.14.수,굿
네이버플레이스,ii맛대리ii,23.7.10.월,"알로에 레몬 머틀티 가라앉은 청이 잘 안섞여서 조금 귀찮지만 적당히 달고 상큼해서 좋습니다. 알로에 건더기가 커서 씹는 맛도 괜찮네요 사람이 별로 
없을때 빨대로 보글보글하면 잘 섞어먹을 수 있습니다 ㅋㅋ ★★★"
네이버플레이스,abc8433,23.11.9.목,직원분들이 친절해요
네이버플레이스,찬열땜에숨차,23.9.22.금,신메뉴 피스타치오 아이스크림 먹는데 핵존마탱입니다🩷🩷🩷🩷🩷 꼭 한번 드셔보세요
네이버플레이스,H 25,23.6.28.수,"남편도 저도 폴바셋라떼 완전 좋아하고 초등아들 폴바셋아이스크림 완전 좋아해서 폴바셋 찾아다녀요. ㅋ 매장 분위기도 좋고 친절하고 역시나 넘 맛있
어요♡"
네이버플레이스,수땅32,23.8.5.토,카페들 중에서 제일 친절하신 느낌이 들 정도입니다. 쾌적하게 잘 있다가 갔습니다.
네이버플레이스,더부살이,2.3.토,굳~
네이버플레이스,Srlove,23.8.20.일,"주변카페는 자리도없고 복잡한데.여긴 매장이.크고  많이 붐비지않아서 좋아요
맛은 쏘쏘한데 아이스크림은 맛있습니다
매장이 좀 더 시원하면 좋을 것 같아요"
네이버플레이스,jj****,23.12.10.일,아이스크림
네이버플레이스,초공123,2.13.화,좋아요
네이버플레이스,jsk****,1.14.일,굿
네이버플레이스,IamanEpicurean,23.9.10.일,룽고는 커피의 진리입니다. 꼭 드셔보세요. 다른 카페 아메리카노 못 마세요!!
네이버플레이스,HelenaVan,23.9.16.토,여의도 카페 폴바셋 최고입니다
네이버플레이스,choi0914477,1.10.수,굿
네이버플레이스,작은여우552,23.9.15.금,커피맛은 그냥 그랬어요......
네이버플레이스,달고나스콘냠,23.7.8.토,라떼맛집... 특히 여름메뉴인 초당옥수수라떼 존맛..!
네이버플레이스,so hot,23.7.16.일,"폴바셋 오트 라떼는 사랑
직원분들 모두 친절하시고 커피도 맛있어요"
네이버플레이스,어리버리7323,23.7.26.수,"아이스크림라떼 .  종류는 비싸지만 다 맛있네요
초당옥수수맛도 검증완료"
네이버플레이스,연인비,23.9.20.수,폴바셋커피 맛있지요.여직원분이 엄청 상냥하고 친절하게 응대해주셨어요.키오스크 이용 쉽지않았는데 차분히 도움주셔서 감사해요.
네이버플레이스,먹방탐구가,23.8.9.수,친절하고 깨끗하고 좌석 많고 맛있어요
네이버플레이스,양재천핵주먹,23.9.5.화,"매장 넓고 쾌적~
밀크아이스크림은 역시나 최고!"
네이버플레이스,secf39,23.9.26.화,커피 마시기 좋아요
네이버플레이스,체로키27,23.11.18.토,맛있어요
네이버플레이스,belles81,23.11.12.일,자주갑니다 
네이버플레이스,junghmb1958,23.9.21.목,현대적 분위기에 가격은 쌉니다
네이버플레이스,트루맨119,2.3.토,좋아요
네이버플레이스,목표39,23.9.21.목,라떼 진하고 고소해서 좋아요
네이버플레이스,그냥삶,23.2.11.토,"그냥삶이 애정하는 폴바셋을 여의도에서 💜 좋아하는 메뉴 라떼프라페와 아이스크림딸기라떼 🍓 그냥삶이 생각하는 폴바셋 대표메뉴 라떼프라페 ✔️
아이스크림 라떼와는 또다른 매력이 즐길 수 있는 폴바셋 라떼 메뉴에요!! 넘넘 맛있음 👍🏻 폴바셋 딸기 감성을 담은 시그니처 아이스크림과 함께 먹는 
아이스크림 딸기라떼 츄릅츄릅 🍓 더파티움 후배 축하해주고 폴바셋 근처 방문! 블로그 리뷰 후 영수증 리뷰 😉"
네이버플레이스,목표39,23.12.6.수,
네이버플레이스,김유선62,23.12.7.목,굳
네이버플레이스,초공123,1.5.금,좋아요
네이버플레이스,belles81,23.11.4.토,자주갑니다 
네이버플레이스,jju****,23.11.15.수,굿 
네이버플레이스,초공123,1.4.목,좋아요
네이버플레이스,나나292,23.6.11.일,친절하고 자리 넓어서 좋아요!
네이버플레이스,밤안개8648,23.9.10.일,매장이 넓어서 좋아요
네이버플레이스,Hhh000,23.10.4.수,굿
네이버플레이스,junghmb1958,23.9.6.수,시설이 현대식 감각입니다
네이버플레이스,soonicopi,23.10.6.금,🤎🤎
네이버플레이스,emp****,23.9.4.월,아이스크림 맛있게 먹었어요
네이버플레이스,KOOring,23.9.24.일,에그타르트 진짜 미친 맛.
네이버플레이스,나야나8691,23.8.22.화,분위기 좋고 커피 맛과 빵이 맛있다.
