addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
서울특별시 종로구 율곡로23길 16,(충신동),1,0,A02,A0201,A02010800,294439,12,20071127005251,http://tong.visitkorea.or.kr/cms/resource/85/2031885_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2031885_image3_1.jpg,Type3,127.0066015446,37.5753148419,6,20230412113705,23,,감로암(서울)
서울특별시 성북구 개운사길 73,,1,0,A02,A0201,A02010800,126501,12,20041230090000,http://tong.visitkorea.or.kr/cms/resource/26/2690626_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2690626_image3_1.jpg,Type3,127.0280213987,37.5899857439,6,20230610060046,17,,개운사(서울)
서울특별시 성북구 보국문로 113-10,,1,0,A02,A0201,A02010800,294505,12,20071127021151,http://tong.visitkorea.or.kr/cms/resource/88/2550988_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/88/2550988_image2_1.bmp,Type3,127.0045811572,37.6150157461,6,20230206095101,17,,경국사(서울)
경기도 과천시 대공원광장로 80,(막계동),31,0,A02,A0203,A02030400,2747760,12,20210923224535,http://tong.visitkorea.or.kr/cms/resource/29/2747829_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2747829_image2_1.jpg,Type3,127.0111412395,37.4339007896,6,20230915160532,3,,과천서울대공원기린나라키즈체험
서울특별시 서초구 바우뫼로7길 111,(우면동),1,0,A02,A0201,A02010800,776082,12,20090810181933,http://tong.visitkorea.or.kr/cms/resource/66/1928066_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1928066_image3_1.jpg,Type3,127.0222641043,37.4737408098,6,20231205174150,15,,관문사(서울)
서울특별시 관악구 승방1길 109-80,(남현동),1,0,A02,A0201,A02010800,126916,12,20021021090000,http://tong.visitkorea.or.kr/cms/resource/03/566503_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/566503_image3_1.jpg,Type3,126.9765239933,37.4676601403,6,20231204172512,5,,관음사(서울)
서울특별시 종로구 동숭길 3,,1,0,A02,A0201,A02010700,252528,12,20071024090000,http://tong.visitkorea.or.kr/cms/resource/18/3077518_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/3077518_image3_1.JPG,Type3,127.0028545340,37.5798947977,6,20240603155741,23,,구 서울대학교 본관
서울특별시 서초구 염곡동,", 강남구 개포동",1,0,A01,A0101,A01010400,2357761,12,20161230220453,http://tong.visitkorea.or.kr/cms/resource/64/2357764_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2357764_image2_1.jpg,Type3,127.0615995465,37.4690781677,6,20230610082046,15,,구룡산(서울)
서울특별시 동작구 현충로 210,,1,1,A02,A0201,A02010700,126521,12,20020510090000,,,,126.9732511193,37.5013561691,6,20240514165009,12,,국립서울현충원
서울특별시 중랑구 망우로91길 98,(망우동),1,0,A02,A0201,A02010800,1606052,12,20120418231315,http://tong.visitkorea.or.kr/cms/resource/08/1569208_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/1569208_image3_1.jpg,Type3,127.1133520931,37.6047383453,6,20230410134746,25,,극락사(서울)
서울특별시 종로구 비봉길 137,,1,0,A02,A0201,A02010800,298109,12,20071127231739,,,,126.9534467684,37.6207780461,6,20240516143942,23,,금선사(서울)
서울특별시 성북구 선잠로5길 68,(성북동),1,0,A02,A0201,A02010800,128866,12,20060323090000,http://tong.visitkorea.or.kr/cms/resource/83/2622283_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2622283_image3_1.jpg,Type3,126.9946241836,37.5990951960,6,20240611142405,17,,길상사(서울)
서울특별시 중구 삼일대로 231,,1,0,A02,A0202,A02020700,126485,12,20031105090000,,,,126.9922506300,37.5557113068,6,20240604093218,24,,남산공원(서울)
서울특별시 용산구 남산공원길 105,,1,0,A02,A0205,A02050600,126535,12,20021031090000,,,,126.9878983791,37.5511089858,6,20240604134617,21,,남산서울타워
서울특별시 용산구 남산공원길 105,(용산동2가),1,0,A02,A0203,A02030200,2435104,12,20161018202921,http://tong.visitkorea.or.kr/cms/resource/12/2435112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2435112_image2_1.jpg,Type3,126.9878594933,37.5511312042,6,20230323100522,21,,남산서울타워 한복문화체험관
