,Order,Destination,Address,Tag,DriveCourseID,PlaceID,latitude,longitude,LocalID,WithID,ViewID,ActiveID
0,1,미평산림욕장,전라남도 여수시 미평동 21-1,#관광지 #산림욕 #숲산책 #여수관광 #여수여행 #전남여행,DC001,P001,34.7644965,127.709803,LC007,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC002, AC004"
1,2,여수 녹테마레,전라남도 여수시 만성로 (294),#가볼래터 #문화시설 #미디어아트 #여수 #여수가볼만한곳 #여행구독 #전시관,DC001,P002,34.7745604,127.725915,LC007,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC002, AC004"
2,3,여수국가대표패러글라이딩,전라남도 여수시 망양로 225,#레포츠 #여수시 #여수패러글라이딩 #패러글라이딩,DC001,P003,34.7744243279691,127.744622722113,LC007,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC002, AC004"
3,4,여수 해양레일바이크,전라남도 여수시 망양로 187,#2024_여행가는달과함께하는_발도장여행지 #가족과함께 #레일바이크 #레포츠 #여수가볼만한곳 #여수바다 #여수여행 #여수해양레일바이크 #연인과함께 #친구와함께 #해양레일바이크,DC001,P004,34.7721251257256,127.746819599053,LC007,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC002, AC004"
4,5,만성리 검은모래해변,전라남도 여수시 만성리길 15-1,#가족과함께 #검은모래해변 #관광지 #바다 #아이와함께 #여수가볼만한곳 #여수검은모래사장 #여수모래찜질명소 #여수바닷가 #여수여행 #여수해수욕장추천 #자연 #자연여행 #자연좋은곳 #자연풍경 #자연환경 #전라권 #전라남도여행 #휴식여행 #휴식하기좋은곳,DC001,P005,34.7759771541926,127.744607723206,LC007,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC002, AC004"
5,6,모사금해수욕장,전라남도 여수시 오천동,#가족과함께 #관광지 #모사금피서지 #모사금해수욕장 #여름피서지 #여름휴가 #자연 #자연좋은곳 #자연환경 #전라권 #풍경좋은곳 #해수욕장 #휴식여행 #휴식하기좋은곳 #힐링여행,DC001,P006,34.7971792546936,127.747988031527,LC007,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC002, AC004"
6,7,신덕해수욕장 / 신덕해변,전라남도 여수시 신덕2길 16-9,#관광지 #기암절벽 #바다체험 #신덕해변 #신덕해수욕장 #아이와함께 #여수바다 #여수여행 #여수해수욕장,DC001,P007,34.8189349403611,127.766863175112,LC007,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC002, AC004"
7,1,궁리포구,충청남도 홍성군 서부면 남당항로 853-5,#관광지 #궁리포구 #바다경치 #바다내음 #일몰여행 #자연 #자연좋은곳 #자연환경 #천수만 #충청권 #포구 #홍성12경 #홍성명품낙조 #홍성포구,DC002,P008,36.5889216217204,126.457733338553,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
8,2,속동전망대,충청남도 홍성군 서부면 남당항로 689,#갯벌 #경치좋은곳 #관광지 #데이트코스 #바다경치 #바다전망 #바다전망대 #사진찍기좋은곳 #사진촬영 #속동갯벌 #연인과함께 #자연좋은곳 #자연환경 #전망대 #커플데이트 #타이타닉포토존 #해안전망대 #홍성속동전망대,DC002,P009,36.5770226953143,126.464592720503,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
9,3,남당항,충청남도 홍성군 서부면 남당리,#가족과함께 #관광지 #남당항 #대하 #대하축제 #미식여행 #바다풍경 #새조개 #새조개축제 #수산물 #자연 #죽도 #천수만 #철새도래지 #충청권 #홍성남당항,DC002,P010,36.5398850176414,126.479723667165,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
