업체명,지역,업종,주소,전화번호,썸네일
강군초밥,충주시,"초밥,롤",충북 충주시 연원로 28 1층 강군초밥,043-845-3412,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230725_294%2F1690282852889YIIXg_JPEG%2F%25BC%25F7%25BC%25BA%25C8%25B8.jpeg
장수골,충주시,한식,충북 충주시 대소원면 쇠실로 984,043-846-4189,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200312_230%2F1584006965374iasis_JPEG%2FvImCMNIqXOI2I2CFwazF5QHT.jpg
원조영덕가든,충주시,한식,충북 충주시 노은면 감노로 1595-1 원조영덕가든,043-853-2264,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190805_7%2F1564996838862gkr83_JPEG%2FgVnJru1sJPiaLQAg-EM9GL56.jpg
충주댐198510,충주시,"카페,디저트",충북 충주시 충주호수로 586,0507-1456-1985,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240403_59%2F1712142787025hRDnH_JPEG%2F20240403_192410.jpg
비건채식뷔페 빛가람,충주시,"채식,샐러드뷔페",충북 충주시 신대2길 26 비건채식뷔페 빛가람,043-842-3333,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240501_263%2F17145557746524wDEX_JPEG%2F20240501_182917.jpg
징기스 충주점,충주시,양갈비,충북 충주시 금봉대로 529 1층,043-846-3774,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200719_228%2F1595156386801Hidt7_JPEG%2Fimage.jpg
포유탐 본점,충주시,베트남음식,충북 충주시 봉계13길 24,010-7589-0142,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230505_210%2F1683252811094sQb7m_JPEG%2FF6060DD7-192F-4195-BE9D-D04B73D4D3A9.jpeg
우미칼국수,충주시,"칼국수,만두",충북 충주시 범바위길 9 1층,0507-1389-9991,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220821_195%2F1661073907412o1n0A_JPEG%2FKakaoTalk_20220816_182017303.jpg
현아네만두,충주시,만두,충북 충주시 공설시장길 13 현아네만두,010-3177-1410,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220602_121%2F1654156251793wnMo4_JPEG%2F523671D6-4D29-4C7F-BB4C-E036D54FEB0A.jpeg
명산가든,충주시,한정식-일반,충북 충주시 살미면 중원대로 2577-10,043-851-7208,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F17566669%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1719411202646%26md%3DZi3WtX%252BU%252FNp9ghGQyIDaLfRji0w%253D
호수로1010,충주시,카페,충북 충주시 하종민길 2 충주호수로 1010,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200221_192%2F1582282856567dIDBJ_JPEG%2FkZUH2cIFXYgpWU0YwyJSDTLc.jpg
빌드그린,충주시,"다이어트,샐러드",충북 충주시 성서7길 16 1층,0507-1333-3341,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230525_91%2F1684993149548VePw3_JPEG%2FCMH00721.jpg
굿나잇커피앤북,충주시,"카페,디저트",충북 충주시 행정5길 25 1층,010-4354-5088,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220531_12%2F1653992825792OOmAD_JPEG%2FKakaoTalk_20220531_192606746_01.jpg
오복쌈밥,충주시,한식,충북 충주시 사직로 191-3,043-842-9710,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2F20150726_164%2Fjerryhong23_1437847766935gfz1h_JPEG%2FNaverBlog_20150726_024748_13.jpg
정화돼지갈비 냉면 파주운정본점,파주시,한식,경기 파주시 교하로 1412-1 1층,031-957-8668,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240423_89%2F1713836012471ov1LI_JPEG%2FKakaoTalk_20240422_003655703_14.jpg
버터킹빵공장,파주시,베이커리,경기 파주시 지목로 71 버터킹 빵공장,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230512_96%2F1683873917891FRgrg_PNG%2FKakaoTalk_Photo_2022-06-26-17-02-25_003.png
