,Title,Distance,Explain,DriveCourseID,Image,LocalID,URL
0,여수 오션뷰 힐링 드라이브 코스,코스 총거리 : 8.6km,전라남도 대표 미항(美港)인 여수에서는 다양한 매력의 바다를 즐길 수 있다. 울창한 마래산을 지나 남해와 마주보는 바다를 끼고 힐링을 즐길 수 있는 드라이브 코스로 3가지의 매력을 가진 해변을 만나보자.,1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=abd9fae1-a8e3-4b42-ab02-75592f4b31f1,6,https://korean.visitkorea.or.kr/detail/cs_detail_user.do?crsid=e22ba9e4-08f8-453b-9e71-b41d4e76f7e4
1,안면도 여행,코스 총거리 : 86.4km,안면도여행 당일 코스로 즐기기 해안가로 드라이브 여햄 낙조와 힐링을 느껴보세요,2,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=,3,https://korean.visitkorea.or.kr/detail/cs_detail_user.do?crsid=9b8c7e6d-42d2-4306-b910-1751ac2bbc22
2,포항여행,코스 총거리 : 58.9km,"아빠엄마와 함께 가족여행 일정표 포항 볼거리, 해안둘레길 드라이브코스 추천",3,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ed0355a6-f4ed-420f-bec9-85aba614d06c,5,https://korean.visitkorea.or.kr/detail/cs_detail_user.do?crsid=479bee7e-0204-466a-851e-deea4e05e40c
3,바다보고 계곡 트레킹까지 대자연속으로,코스 총거리 : 67.1km,"동해의 아름다운 해안도로 삼척항에서 드라이브 - 중앙시장으로 이동해서 점심식사 - 저녁과 다음날 식량을 구입 - 덕풍계곡마을에서 민박 또는 캠핑 - 점심 도시락을 들고 덕풍계곡 트레킹 - 민박 또는 캠핑 - 마을 근처에서 식사 - 시원한 삼척초당굴을 마지막 일정으로 2박 3일 코스이다. 바다 구경에 대자연을 경험할 수 있는 덕풍계곡, 아름다운 한국을 경험할 수 있다.",4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf4a3a5d-af5b-4004-a401-d5e92283b237,2,https://korean.visitkorea.or.kr/detail/cs_detail_user.do?crsid=888182a5-b6bf-4bc2-b423-757b8bab7dd4
4,언택트 힐링,코스 총거리 : 141.3km,"코로나19 싹쓰리 강원도 여름 힐링 여행  1. 숙박시설: 가. 삼척 *장호비치캠핑장(동해바다 캠핑장 1순위, 예약 BTS 콘서트티켓팅 급 ) http://www.janghocamping.kr * 장호용화관광랜드호텔 (용화관광랜드 식당이 가성비 갑! 만족도 ★★★★) http://jhyhland.com * 그리다 용화(2019년 7월 신축모던 펜션) http://drawingyh.placecompany.kr  나. 고성 * 송지호 오토캠핑장 (아이들이 놀기좋은 바닷가캠핑장) http://camping.gwgs.go.kr/ * 봉수대오토캠핑장 (수상레저,바닷가 캠핑, 카라반, 캠핑 야영장) http://www.bongsucamp.com/main/  2. 주변 관광지 (즐길거리) ""한국의 나폴리, 장호항""  스노쿨링 성지, 투명카누, 삼척 해양레일바이크(용화역-궁촌역) 삼척 해상케이블카 , 용화해수욕장 서핑강습 등  3. 언택트 힐링 해안코스 드라이브 ""이사부길""  코로나 위협으로부터 안전한 해안 드라이브 여행(이사부길 코스여행)",5,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=72ad29e6-a9cb-4b43-a10e-b60b45df2817,2,https://korean.visitkorea.or.kr/detail/cs_detail_user.do?crsid=21f28d09-744c-4f9d-a3e9-54fc71a6927c
5,강원 북부 최고의 드라이브 코스로만 짜여진 아름다운 로드트립 코스,코스 총거리 : 약 260km,"단언컨, 이 코스는 차에서 내리지 않아도 충분히 만족할 풍경을 제공하는 드라이브 명소이다. 하지만 잠시 차에서 내린다면 인생 최고의 사진을 남길 수 있는 곳이기도 하다.",6,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=84d0c48d-7609-4073-82b5-12e0da03cd57,2,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=34be59ca-c90d-4c28-8f76-e8ea391b807c&big_category=C01&mid_category=C0114&big_area=32
6,"산, 강, 호수를 넘나드는 드라이브",코스 총거리 : 49km,"파란 하늘보다 더 쪽빛으로 일렁이는 호수가 있고, 그 호수를 끼고 달리는 그림 같은 길이 있다. 의암호 따라 도는 호반길이다. 호수를 따라 잔잔한 호반의 풍경과 삼악산을 위시한 산들이 어우러져 풍경화 같은 모습을 연출한다. 길 따라 애니메이션박물관, 인형극장, 소양강처녀상 등 볼거리도 많다.",7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bf93fbb1-b842-4be7-9296-2e9b0d88e096,2,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=dec40c87-d4d8-4f9b-b8fe-1c5e9c317b6a&big_category=C01&mid_category=C0114&big_area=32
7,포토 스팟을 따라가는 자유로 드라이브 당일 코스,코스 총거리 : 약 70km,자유로를 드라이브하며 기분 좋게 출발해 파주 DMZ 곤돌라도 타보는 당일코스로 연인이 함께 드라이브하며 사진 한 장의 추억을 남길 수 있다. 코스 일대의 트렌디한 베이커리 카페에서도 휴식을 취하며 SNS 업로드용 사진 촬영이 가능하다.,8,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a3dac92d-cae3-46bb-b9cf-194e909ac69e,1,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=e99c1acd-0a97-4a62-ae59-5f5a24b2a114&big_category=C01&mid_category=C0114&big_area=31
8,바다와 호수가 만들어준 멋진 드라이브 코스 1,코스 총거리 : 19.79km,고생태 관광 도시로 새롭게 떠오르고 있는 안산. 광활한 갈대밭 위로 바람이 지나가고 철새들이 날아들어 쉬어가는 풍경이 아주 매력적인 곳이다. 시화호와 대부도로 이어지는 길은 별다른 준비 없이도 일상 탈출의 즐거움을 맛볼 수 있는 멋진 드라이브 코스다.,9,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a5afff70-b928-4b06-bf5b-1a2c7469851c,1,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=d495da5b-35e0-4924-8241-a305fd5718f2&big_category=C01&mid_category=C0115&big_area=31
9,백운호수따라 즐기는 드라이브와 별미여행,코스 총거리 : 20.6km,"백운호수는 1953년 준공한 인공호수로 청계산과 백운산, 모락산이 병풍처럼 둘러싸고 있는 곳으로 경관이 수려하고, 드라이브 코스 뿐 아니라 음식점과 카페가 밀집되어 있어 드라이브나 데이트 코스로 잘 알려진 곳이다. 백운산의 백운사와 청계산의 청계사 뿐 아니라 100년 역사를 자랑하는 하우현성당까지 만나볼 수 있다.",10,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fe905940-6a0f-447a-999d-badc380e9e7a,1,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=17e5f3df-abd4-47ae-a709-cbf96b98ff67&big_category=C01&mid_category=C0112&big_area=31
