,Order,Destination,Address,Tag,DriveCourseID,PlaceID,latitude,longitude,LocalID
0,1,미평산림욕장,전라남도 여수시 미평동 21-1,#관광지 #산림욕 #숲산책 #여수관광 #여수여행 #전남여행,1,1,34.7644965,127.709803,6
1,2,여수 녹테마레,전라남도 여수시 만성로 (294),#가볼래터 #문화시설 #미디어아트 #여수 #여수가볼만한곳 #여행구독 #전시관,1,2,34.7745604,127.725915,6
2,3,만성리 검은모래해변,전라남도 여수시 만성리길 15-1,#가족과함께 #검은모래해변 #관광지 #바다 #아이와함께 #여수가볼만한곳 #여수검은모래사장 #여수모래찜질명소 #여수바닷가 #여수여행 #여수해수욕장추천 #자연 #자연여행 #자연좋은곳 #자연풍경 #자연환경 #전라권 #전라남도여행 #휴식여행 #휴식하기좋은곳,1,3,34.7759771541926,127.744607723206,6
3,4,모사금해수욕장,전라남도 여수시 오천동,#가족과함께 #관광지 #모사금피서지 #모사금해수욕장 #여름피서지 #여름휴가 #자연 #자연좋은곳 #자연환경 #전라권 #풍경좋은곳 #해수욕장 #휴식여행 #휴식하기좋은곳 #힐링여행,1,4,34.7971792546936,127.747988031527,6
4,5,신덕해수욕장 / 신덕해변,전라남도 여수시 신덕2길 16-9,#관광지 #기암절벽 #바다체험 #신덕해변 #신덕해수욕장 #아이와함께 #여수바다 #여수여행 #여수해수욕장,1,5,34.8189349403611,127.766863175112,6
5,1,궁리포구,충청남도 홍성군 서부면 남당항로 853-5,#관광지 #궁리포구 #바다경치 #바다내음 #일몰여행 #자연 #자연좋은곳 #자연환경 #천수만 #충청권 #포구 #홍성12경 #홍성명품낙조 #홍성포구,2,6,36.5889216217204,126.457733338553,3
6,2,속동전망대,충청남도 홍성군 서부면 남당항로 689,#갯벌 #경치좋은곳 #관광지 #데이트코스 #바다경치 #바다전망 #바다전망대 #사진찍기좋은곳 #사진촬영 #속동갯벌 #연인과함께 #자연좋은곳 #자연환경 #전망대 #커플데이트 #타이타닉포토존 #해안전망대 #홍성속동전망대,2,7,36.5770226953143,126.464592720503,3
7,3,남당항,충청남도 홍성군 서부면 남당리,#가족과함께 #관광지 #남당항 #대하 #대하축제 #미식여행 #바다풍경 #새조개 #새조개축제 #수산물 #자연 #죽도 #천수만 #철새도래지 #충청권 #홍성남당항,2,8,36.5398850176414,126.479723667165,3
8,4,홍성방조제,충청남도 홍성군 서부면,#관광지 #바다풍경 #방조제 #자연 #충청권 #홍성 #홍성방조제 #홍성여행 #힐링,2,9,36.5803273092588,126.51723142167,3
9,5,보령방조제,충청남도 보령시 오천면,#관광지 #광천천 #바다풍경 #보령방조제 #빙도 #서해방조제 #오천항 #일몰감상지 #자연 #충남방조제 #충남보령방조제 #충청권 #힐링,2,10,36.4370877555063,126.523424331254,3
10,6,보령 충청수영성,충청남도 보령시 오천면 충청수영로,#가족여행 #관광지 #교과서속여행 #동백꽃필무렵 #드라마촬영지 #보령문화재 #보령오천성 #보령충청수영성 #사적 #아이와함께 #역사 #역사유적지 #연인과함께 #자연좋은곳 #전망좋은곳 #전통&역사문화체험 #충청수영성 #친구와함께 #한옥&전통가옥,2,11,36.4398663,126.522982,3
11,7,대천항,충청남도 보령시 대천항중앙길 42,#가족여행 #관광지 #꽃게 #대천항 #대천항수산시장 #대천항연안여객터미널 #보령여행 #서해 #수산물시장 #수산시장 #여객선터미널 #자연 #충청권 #친구와함께 #항구 #해산물,2,12,36.3273037196364,126.50923284561,3
12,8,안면암(태안),충청남도 태안군 안면읍 여수해길 198-160,#가볼래터 #가족여행 #관광지 #바다 #불교문화 #불교사찰 #사찰 #안면암 #여행구독 #역사 #자연 #자연환경 #종교 #충청권 #태안가볼만한곳 #한국불교 #휴식하기좋은곳,2,13,36.5594227746266,126.373799625052,3
13,10,꽃지해수욕장,충청남도 태안군 안면읍 승언리,#2024_여행가는달과함께하는_발도장여행지 #21_22한국관광100선 #23_24한국관광100선 #관광지 #꽃지해수욕장 #바다풍경 #아이와함께 #연인과함께 #자연 #충청권 #친구와함께 #한국관광100선,2,14,36.5051678525711,126.362764309111,3
14,1,이가리 닻 전망대,경상북도 포항시 북구 청하면 이가리,#2024_여행가는달과함께하는_발도장여행지 #가족과함께 #경치여행 #경치좋은곳 #관광지 #드라마촬영지 #바다경치 #바다내음 #사진찍기 #사진찍기좋은곳 #포항가볼만한곳 #포항여행,3,15,36.1831970427413,129.378664301228,5
15,2,영일대해수욕장,경상북도 포항시 북구 해안로 95,#관광지 #바다풍경 #여름피서지 #여름휴가 #영일대해수욕장 #자연 #자연속으로 #자연여행 #자연좋은곳 #자연환경 #친구와함께,3,16,36.0572951509316,129.377880175355,5
16,3,송도해변(포항),경상북도 포항시 남구 운하로251번길 34-1,#가족여행 #관광지 #바다풍경 #송도해변 #아이와함께 #여름방학가볼만한곳 #여름여행 #여름휴가 #연인과함께 #자연 #친구와함께 #피서여행,3,17,36.0482640218358,129.374323122135,5
17,4,포항운하,경상북도 포항시 남구 희망대로 1040,#19-20한국관광100선 #가족과함께 #가족여행 #경상권 #관광지 #나들이 #데이트장소 #바다풍경 #복합문화공간 #시티투어 #운하 #인생샷 #전망대 #전시관 #포항야경 #포항운하 #포항운하관 #포항크루즈,3,18,36.0238726668353,129.377390362095,5
