모델,제조사
벤틀리 컨티넨탈,벤틀리
캐딜락 에스컬레이드,캐딜락
랜드로버 디스커버리 스포츠,랜드로버
기아 EV3,기아
쉐보레 뉴 카마로,쉐보레
페라리 296 GTB,페라리
BMW M8,BMW
렉서스 ES,렉서스
벤츠 CLE,벤츠
포르쉐 718 박스터,포르쉐
아우디 A8,아우디
코닉세그 아제라 RS,코닉세그
포르쉐 타이칸,포르쉐
벤츠 GLC,벤츠
쉐보레 뉴 트래버스,쉐보레
르노코리아 뉴 QM6,르노코리아
제네시스 뉴 GV80,제네시스
람보르기니 시안,람보르기니
신위안 이티밴,신위안
푸조 2008,푸조
렉서스 UX,렉서스
포르쉐 718 카이맨,포르쉐
르노코리아 뉴 SM6,르노코리아
아우디 A7,아우디
인피니티 QX80,인피니티
현대 아이오닉 6,현대
아우디 S5,아우디
마세라티 기블리,마세라티
람보르기니 아벤타도르,람보르기니
벤틀리 벤테이가,벤틀리
BMW 4시리즈,BMW
기아 뉴 카니발 하이브리드,기아
시트로엥 베를링고,시트로엥
기아 EV6,기아
현대 뉴 아이오닉 5,현대
기아 니로 EV,기아
혼다 오딧세이,혼다
아우디 Q4 e-트론,아우디
포드 레인저,포드
벤츠 GLB,벤츠
BMW X7,BMW
BMW 1시리즈,BMW
볼보 XC40,볼보
푸조 5008,푸조
벤츠 G클래스,벤츠
르노코리아 아르카나,르노코리아
푸조 408,푸조
기아 니로,기아
랜드로버 디펜더,랜드로버
로터스 에미라,로터스
제네시스 뉴 GV70,제네시스
애스턴마틴 뱅퀴시,애스턴마틴
벤츠 AMG GT,벤츠
링컨 에비에이터,링컨
BMW 8시리즈,BMW
현대 포터2 일렉트릭,현대
재규어 I-페이스,재규어
제네시스 뉴 GV80 쿠페,제네시스
아우디 Q3,아우디
BMW iX3,BMW
캐딜락 CT6,캐딜락
푸조 407,푸조
미쓰비시 이클립스 크로스,미쓰비시
람보르기니 레부엘토,람보르기니
디피코 포트로,디피코
토요타 캠리,토요타
대창모터스 다니고 EV,대창모터스
혼다 CR-V,혼다
현대 르 필 루즈,현대
페라리 12칠린드리,페라리
폭스바겐 테라몬트,폭스바겐
테슬라 사이버트럭,테슬라
벤츠 마이바흐 GLS,벤츠
토요타 시에나,토요타
테슬라 모델 3,테슬라
아우디 Q7,아우디
GMC 시에라,GMC
BMW M2,BMW
캐딜락 XT4,캐딜락
BMW 7시리즈,BMW
